"sex","income2000","totalITPA_10","grade_6yr","highest_edu","len_of_edu","num_field","edu_field","age_start_highedu","qual_job","len_unemp","age_work","age1991","family.income"
"Male",18914.7505857145,29,8.5,6,27,1,"Art",NA,NA,0,18,24,24168.4368445927
"Male",20424.9099774124,33,6.89999997615816,3,27,1,"Science",21,"Yes",0,22,27,12173.4421172842
"Female",45842.9831156141,40,8.89999997615816,4,18,2,"Science",NA,"Yes",1,21,23,12693.1428100502
"Female",15127.3266697277,42,9,7,38,1,"Art",NA,NA,0,NA,23,22182.1374330822
"Male",3588.12122312988,37,7.39999997615816,5,27,1,"Science",NA,"Somewhat",1,26,26,17057.2831258735
"Female",16077.59,41,NA,NA,NA,NA,"Science",NA,NA,NA,NA,24,33072.4738593916
"Male",46929.8134964083,42,8.09999990463258,7,54,1,"Science",20,"Yes",0,24,27,26660.1409751199
"Female",19385.5085918802,43,8,3,18,1,"Science",NA,"Yes",0,22,24,32342.706446475
"Female",15297.53,31,6.29999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,24,23891.9358934899
"Male",26532.6545268621,46,8.29999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,25,18974.1209237554
"Female",96472.5946183227,42,NA,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Male",28158.3590240391,44,9.09999990463258,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",21141.05,33,7.19999998807905,NA,NA,0,"Science",NA,NA,NA,NA,24,NA
"Male",22933.9374643652,46,8.5,4,36,1,"Science",20,"No",1,23,24,29586.1063317708
"Male",36505.189438471,42,7.19999998807905,7,52,1,"Science",NA,NA,0,NA,24,NA
"Male",41945.2279198685,40,8.09999990463258,NA,NA,NA,"Art",NA,NA,NA,NA,25,NA
"Female",NA,31,NA,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",18652.209232508,28,8.19999992847442,5,54,1,"Art",21,"Yes",0,18,27,17057.2831258735
"Male",5127.88,39,7.39999997615816,3,18,1,"Science",17,"Somewhat",0,20,27,15554.8603787928
"Male",46803.84,34,7.5,5,23,1,"Science",NA,"Somewhat",0,26,25,24013.0312005422
"Male",25643.2767717337,36,7.19999998807905,4,36,2,"Science",20,"Somewhat",0,23,27,NA
"Female",19385.5085918802,32,8.19999992847442,4,27,1,"Science",20,NA,0,21,25,21942.1332620216
"Female",9077.27057905421,35,8.19999992847442,NA,NA,NA,"Science",NA,NA,NA,NA,24,21535.1184799848
"Male",13036.9189317376,40,7.39999997615816,3,18,1,"Science",NA,"Yes",0,21,26,15554.8603787928
"Female",NA,36,6.69999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,26,31331.2242567355
"Female",16077.59,40,8,NA,NA,0,"Science",NA,NA,NA,NA,25,NA
"Male",17921.0963161798,35,8.5,5,27,1,"Science",22,NA,0,26,27,15554.8603787928
"Female",11933.27,28,8.79999995231626,5,36,2,"Science",NA,NA,0,NA,24,NA
"Female",17999.4718899109,37,8,3,13,1,"Science",NA,"Yes",0,18,25,NA
"Female",23731.4846116457,41,9,7,45,1,"Science",NA,NA,0,NA,24,NA
"Male",20080.6292919457,34,6.19999998807905,3,14,1,"Science",19,"Yes",0,21,27,19452.111010759
"Female",31765.4854828591,48,7.09999996423721,7,52,1,"Science",19,"Yes",0,23,25,NA
"Female",20306.34,38,7.5,4,18,1,"Science",21,"Somewhat",0,18,24,18410.5231821828
"Female",7824.9432786218,33,8.09999990463258,3,18,1,"Science",16,"Yes",0,17,25,NA
"Female",9996.75,30,7.29999995231626,NA,0,NA,"Science",NA,"No",0,18,23,NA
"Male",40299.8454352956,36,8.69999992847442,7,45,1,"Science",NA,"Somewhat",0,NA,25,23749.480719777
"Male",25996.98,38,6.79999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,27,12173.4421172842
"Female",30503.7396585449,38,8.5,7,49,1,"Science",20,"Yes",0,25,26,25527.8998541811
"Female",10267.2001587694,42,8.89999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,23,NA
"Male",30548.982210763,37,7.5,4,45,2,"Science",16,"Yes",0,21,25,NA
"Female",24890.9721766713,29,6.19999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,27,17001.9492980677
"Male",16.31,35,NA,NA,NA,NA,"Science",NA,NA,NA,NA,27,12925.2421485671
"Female",5886.40923822642,34,7.79999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,23,31045.304781751
"Female",9776.76,34,8.39999997615816,4,18,1,"Science",22,NA,0,NA,24,NA
"Male",26553.005265964,46,8.79999995231626,7,40,1,"Science",20,"Yes",0,25,26,64582.1455061028
"Male",32827.0876746842,50,NA,7,63,1,"Science",20,"Yes",0,25,27,NA
"Female",33425.6685049607,48,NA,7,45,1,"Art",NA,NA,0,NA,25,21152.1545714319
"Male",NA,35,6.59999996423721,NA,NA,NA,"Science",NA,NA,NA,NA,24,18942.5015935806
"Female",14897.25,40,7.39999997615816,3,27,1,"Science",16,NA,0,18,23,20615.4668980933
"Female",28250.19,45,NA,7,36,1,"Art",NA,"No",2,25,24,25346.2568936026
"Male",7679.46072223259,36,8,5,36,1,"Science",NA,NA,0,NA,24,NA
"Male",35070.2100499014,48,8.5,8,45,1,"Science",NA,"Somewhat",0,NA,24,21152.1545714319
"Male",31760.94,37,7.5,4,18,1,"Science",16,"Somewhat",0,18,25,NA
"Male",22654.5773185126,30,7.19999998807905,NA,NA,0,"Science",NA,NA,NA,17,27,13610.7761368242
"Female",15940.851670022,32,8.29999995231626,3,9,1,"Science",16,"Yes",0,18,26,14008.7087708322
"Female",23731.4846116457,41,7.89999997615816,3,27,1,"Science",18,"Yes",0,18,25,NA
"Female",43196.21,40,8.79999995231626,7,63,1,"Science",19,"No",0,NA,27,NA
"Male",31707.124272377,31,6.39999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",6785.87826894259,36,7.69999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,23,21245.4988706181
"Female",21104.56,33,8.5,4,27,1,"Science",20,"Yes",0,22,25,NA
"Female",14426.3193922361,28,7.89999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,24,24741.2849221205
"Male",210202.615995008,37,9.19999992847442,6,63,2,"Science",19,"Yes",0,17,27,NA
"Female",10612.153595942,32,7.59999996423721,4,36,1,"Art",NA,"No",NA,NA,24,NA
"Male",18700.9837311819,35,5.89999997615816,3,27,1,"Science",20,"Yes",0,22,25,19959.7021728198
"Male",23429.4190957208,35,6.19999998807905,3,21,1,"Science",16,"Yes",3,18,24,20549.032667141
"Male",NA,40,7.89999997615816,6,27,1,"Science",16,"Somewhat",0,25,27,NA
"Female",19561.7695388119,32,7.59999996423721,NA,NA,NA,"Science",NA,NA,NA,NA,25,17535.2732128771
"Male",NA,24,NA,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",31350.06,34,NA,3,9,1,"Science",NA,"Yes",0,25,25,27793.2230356912
"Male",24249.34,39,7.69999998807905,7,36,1,"Art",NA,NA,0,NA,24,24384.8947059486
"Female",14416.2281166484,36,8.69999992847442,7,45,2,"Art",NA,NA,0,NA,25,NA
"Male",6306.54267852728,36,8.19999992847442,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Male",24836.98,35,7.69999998807905,5,27,1,"Science",23,"Yes",0,24,27,13555.274121092
"Female",18885.4858865101,31,7.5,3,22,2,"Science",20,"Yes",0,22,25,NA
"Male",17341.02,34,8.19999992847442,5,45,1,"Art",NA,NA,0,NA,25,NA
"Female",22609.67,30,7.5,NA,NA,NA,"Science",NA,NA,NA,NA,25,20332.574805785
"Male",30910.9226285082,34,7.79999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,25,27793.2230356912
"Female",5886.40923822642,37,8.89999997615816,7,45,3,"Art",19,"Yes",0,21,27,21711.21123899
"Female",13646.77,33,8.29999995231626,3,9,1,"Science",NA,"Yes",0,17,24,NA
"Female",30772.17,39,8.69999992847442,7,45,2,"Art",18,NA,0,NA,24,24384.8947059486
"Male",7698.46595792274,30,NA,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Female",23876.97,39,9,7,27,1,"Art",NA,"Yes",0,22,25,15504.7403767073
"Female",8269.8,37,7.89999997615816,NA,NA,0,"Science",NA,NA,NA,NA,26,11026.5686467431
"Female",4944.22,43,NA,NA,NA,NA,"Science",NA,NA,NA,NA,27,NA
"Female",47186.47,39,NA,8,45,2,"Science",18,NA,0,NA,24,NA
"Male",31592.9246703096,37,7.29999995231626,3,18,1,"Science",17,"No",0,21,24,NA
"Female",18423.1372766675,37,8.29999995231626,NA,0,NA,"Science",NA,"No",1,NA,25,24741.2849221205
"Male",31592.9246703096,38,7.29999995231626,6,36,2,"Science",NA,NA,0,NA,24,21583.5566028057
"Male",19388.704162483,38,8,3,18,1,"Science",16,"Somewhat",0,17,23,NA
"Male",13190.138132744,39,NA,4,29,1,"Science",19,NA,3,22,27,12925.2421485671
"Female",17227.657495379,19,6.5,3,18,1,"Science",NA,"Somewhat",0,21,24,NA
"Female",NA,42,8.19999992847442,NA,NA,NA,"Science",NA,NA,NA,NA,25,24259.5947007348
"Female",20667.94,29,7.5,4,18,1,"Science",21,"Somewhat",0,23,24,29586.1063317708
"Female",9102.6669559499,32,NA,7,41,1,"Art",20,NA,NA,NA,24,NA
"Male",14483.503287233,25,NA,4,52,2,"Science",21,"Yes",0,18,25,NA
"Female",4818.24771726937,31,7.59999996423721,4,36,2,"Science",NA,"Yes",0,21,24,25775.6406698589
"Female",19291.9961047676,41,8.69999992847442,6,31,1,"Science",NA,NA,0,24,25,17420.5690470304
"Female",11246.22,22,6.79999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,27,NA
"Female",7089.45747620561,31,6.19999998807905,3,18,1,"Science",20,"Yes",1,19,24,NA
"Female",5008.97,25,7.59999996423721,4,27,1,"Science",NA,"Yes",0,18,25,18537.0005028819
"Female",28250.19,47,NA,7,45,2,"Science",NA,NA,2,NA,24,23847.870656757
"Male",42151.26,32,NA,7,45,1,"Science",NA,NA,0,NA,24,NA
"Male",12880.8405359813,30,7,NA,NA,NA,"Science",NA,NA,NA,NA,24,8395.6049131057
"Male",17537.1232800682,39,NA,3,18,1,"Science",NA,"Yes",0,23,25,21062.3422187015
"Male",19761.0722316688,33,7.5,NA,0,NA,"Science",NA,"No",0,18,24,25022.6633230907
"Male",9639.69100514151,NA,NA,NA,NA,NA,"Science",NA,NA,NA,NA,NA,NA
"Male",32184.2734197483,43,NA,7,63,1,"Art",NA,NA,0,NA,26,28618.1848149848
"Female",4843.81228209152,43,NA,3,18,1,"Science",16,"Somewhat",0,18,25,NA
"Male",24335.11,31,NA,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Male",42006.28,40,NA,7,45,1,"Science",NA,NA,0,NA,25,NA
"Male",19388.704162483,31,NA,NA,NA,NA,"Science",NA,NA,NA,NA,23,NA
"Male",17543.6826092002,25,NA,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Female",12167.39,43,8.29999995231626,7,54,1,"Art",21,"Somewhat",3,NA,27,28584.2108538396
"Male",21886.6312462894,37,NA,7,27,2,"Science",NA,"Somewhat",0,22,24,NA
"Male",21005.33,30,7.59999996423721,NA,NA,NA,"Science",NA,NA,NA,NA,26,NA
"Male",5334.41646357974,38,6.89999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,27,NA
"Male",29224.3341019522,47,8.89999997615816,4,16,1,"Science",NA,"Somewhat",0,18,24,17402.0683751196
"Male",25082.7064128374,29,6.29999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",46991.87,39,8.09999990463258,8,18,1,"Science",19,"Somewhat",0,NA,24,25346.2568936026
"Male",NA,45,8.79999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,26,17888.9724222257
"Male",17516.4361651135,25,NA,NA,NA,NA,"Science",NA,NA,NA,NA,27,18294.6417008509
"Male",1180.68,41,7.39999997615816,3,13,1,"Science",NA,"No",3,20,23,28540.8183688126
"Female",3038.81945530658,41,8.19999992847442,3,18,1,"Science",16,"No",0,17,25,NA
"Male",14127.449446914,34,7.39999997615816,5,63,2,"Science",NA,NA,0,NA,25,NA
"Male",10587.0935948992,21,6.5,NA,NA,NA,"Science",NA,NA,NA,NA,26,18496.4672126047
"Female",17478.0893178802,35,7.5,3,22,4,"Science",20,"Yes",0,21,24,32724.3248516162
"Female",43196.21,39,NA,NA,NA,0,"Science",NA,NA,NA,19,24,25956.2745028786
"Female",2919.74240337183,28,NA,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Female",5638.3320466957,35,8.09999990463258,4,18,1,"Science",17,"Yes",0,20,25,NA
"Male",23712.48,31,NA,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",17902.4274563426,34,NA,3,27,1,"Science",16,"Yes",0,18,27,12402.8504489777
"Male",18788.6096408683,38,8.19999992847442,3,18,1,"Science",NA,"No",3,NA,25,NA
"Male",23012.9857898021,46,7.79999995231626,7,54,1,"Science",19,"Somewhat",0,NA,25,NA
"Male",24293.0640981007,31,NA,NA,NA,NA,"Science",NA,NA,NA,NA,26,17351.2756213282
"Male",72122.18,40,8.09999990463258,7,54,1,"Science",19,"Yes",0,23,25,23749.480719777
"Female",18308.4331108207,41,8.69999992847442,7,54,1,"Art",23,"Yes",0,NA,26,38063.6187650633
"Male",13036.9189317376,42,NA,3,18,1,"Science",16,"Somewhat",0,18,26,NA
"Female",13570.24,30,7.89999997615816,NA,0,NA,"Science",NA,"No",0,NA,24,NA
"Female",22639.1040292782,42,8.5,4,36,1,"Science",21,"Yes",0,23,24,27263.9356311168
"Female",23164.5231115439,33,7.09999996423721,3,27,1,"Science",17,"Yes",0,18,26,NA
"Female",36848.124620526,32,8.5,7,66,1,"Science",NA,NA,0,NA,25,NA
"Female",47186.47,39,8.5,7,45,1,"Science",NA,"Somewhat",2,26,25,21304.5328328061
"Male",42151.26,37,NA,6,45,1,"Science",20,"Yes",0,22,26,22574.0153017376
"Male",23363.3212406214,41,9,NA,NA,NA,"Science",NA,NA,NA,NA,25,18645.649903376
"Male",12880.8405359813,30,7,3,36,2,"Science",NA,"No",0,18,27,14810.9651800536
"Female",17165.09,35,5.5,NA,NA,0,"Science",NA,NA,NA,16,24,21140.885980359
"Female",32288.55,54,8.79999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,25,28469.5066879929
"Male",40782.04,32,NA,3,9,1,"Science",16,"Yes",0,20,25,17718.2616768672
"Female",9023.79,34,8.69999992847442,NA,NA,0,"Science",NA,NA,NA,17,26,16094.9118106608
"Female",96472.5946183227,NA,NA,NA,0,NA,"Science",NA,NA,0,NA,NA,NA
"Female",18124.4355192718,41,8.89999997615816,7,45,1,"Art",NA,NA,0,NA,24,13330.4068634129
"Male",5622.69056953478,33,7.09999996423721,3,18,1,"Science",16,"Somewhat",4,19,27,NA
"Female",11609.17,26,7.5,NA,NA,NA,"Science",NA,NA,NA,NA,24,9805.86067648548
"Female",16758.92,27,NA,4,54,2,"Science",21,"Yes",1,23,25,NA
"Female",24555.27,38,8.19999992847442,5,54,1,"Art",NA,"Yes",0,26,25,23332.0382862996
"Male",16536.07,31,6.09999996423721,3,27,1,"Science",19,"Yes",0,21,27,12539.9236090438
"Male",22992.1304869209,39,8.39999997615816,4,27,1,"Science",20,"Yes",0,23,25,NA
"Male",11927.89,28,6.89999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,25,9805.86067648548
"Male",13135.477056644,NA,NA,NA,NA,0,"Science",NA,NA,NA,NA,NA,NA
"Male",3828.12539419045,37,6.89999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,26,NA
"Male",26445.36,32,7.09999996423721,4,54,2,"Science",20,"No",0,18,27,16843.6844592674
"Male",5272.69149456837,37,6.5,3,9,1,"Science",NA,"Somewhat",4,18,27,12924.9057727142
"Male",23727.2799134841,39,NA,3,18,1,"Science",NA,"Somewhat",0,21,23,15340.5889604809
"Female",24511.0356507948,47,NA,7,54,1,"Art",21,"No",0,NA,25,39863.9023299073
"Male",5333.23914809451,39,8.19999992847442,4,27,1,"Science",NA,"Somewhat",4,23,27,21073.4426218479
"Male",17921.0963161798,32,NA,3,14,1,"Science",16,"Yes",0,18,25,17315.6197809184
"Female",19698.34,38,8.89999997615816,7,27,1,"Science",NA,NA,0,23,24,24044.650530717
"Female",13215.3663217132,35,NA,NA,NA,NA,"Science",NA,NA,NA,NA,27,NA
"Male",30981.8979334749,31,7.09999996423721,3,18,1,"Science",15,"Yes",0,19,26,NA
"Male",NA,24,NA,3,18,1,"Science",16,"Yes",1,18,24,NA
"Male",21616.1850605392,41,7.19999998807905,5,27,1,"Science",20,"No",0,NA,24,18410.5231821828
"Male",21636.1994237882,37,6.69999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Male",35451.8284550425,35,6.69999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,26,NA
"Female",13875,27,7.89999997615816,5,36,1,"Science",NA,NA,1,NA,24,18874.2172954372
"Female",5611.76,35,6.69999998807905,3,41,1,"Science",NA,"Yes",0,18,27,NA
"Female",15541.2371567495,38,8.39999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,24,34580.6149959719
"Female",25542.5322037832,41,8.79999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",24836.98,38,8.29999995231626,4,27,1,"Science",21,"Somewhat",0,23,26,NA
"Male",30910.9226285082,40,7.79999995231626,7,36,1,"Science",NA,NA,0,25,25,19817.9197508128
"Female",35712.3515531314,37,8.69999992847442,7,63,1,"Science",NA,NA,0,NA,25,NA
"Female",7053.46525994285,32,NA,3,9,1,"Science",NA,NA,1,21,27,11938.9881477968
"Female",NA,39,7.5,4,18,1,"Science",NA,"Yes",0,21,24,111901.482240195
"Male",72122.18,33,NA,7,36,1,"Science",NA,"Yes",0,24,24,NA
"Male",17921.0963161798,45,8.29999995231626,3,18,1,"Science",17,"Yes",0,19,24,32342.706446475
"Female",9023.79,34,8.19999992847442,NA,3,1,"Science",NA,"No",0,19,25,NA
"Female",20331.5656782262,48,7.09999996423721,6,63,1,"Art",23,"Somewhat",1,26,27,15893.0862989069
"Female",29945.3557426926,35,7.79999995231626,4,18,1,"Science",20,"No",0,22,25,NA
"Female",25620.2350258084,40,7.89999997615816,3,18,1,"Science",NA,"Somewhat",0,22,25,NA
"Female",21332.28,34,NA,4,41,1,"Science",NA,"Yes",0,21,26,16869.2490240896
"Female",9795.60121297133,31,7.5,3,18,1,"Science",19,NA,1,NA,25,NA
"Female",18281.1866667339,37,NA,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Female",34941.04,32,7.79999995231626,4,18,1,"Science",21,"Yes",0,22,25,21942.1332620216
"Female",18883.6358193191,28,8.69999992847442,5,27,1,"Science",25,"Yes",0,24,25,18014.1042395131
"Male",13064.5017516773,40,7.89999997615816,NA,NA,NA,"Science",NA,NA,NA,NA,27,15960.8660332709
"Female",11246.22,30,NA,4,54,1,"Science",22,"Somewhat",3,21,23,NA
"Female",13217.89,34,7.79999995231626,4,22,1,"Science",19,"Somewhat",0,21,24,NA
"Female",8337.24,32,7.5,NA,NA,0,"Science",NA,NA,NA,NA,24,NA
"Female",36848.124620526,38,8.59999990463258,NA,NA,NA,"Science",NA,NA,NA,NA,27,NA
"Female",11707.23,39,8.79999995231626,7,45,1,"Art",20,NA,0,NA,24,38675.6546294568
"Male",14966.5390120305,33,NA,7,45,2,"Science",NA,"Yes",0,23,27,5852.93984086058
"Male",31592.9246703096,30,7.09999996423721,3,18,1,"Science",16,"Yes",0,21,24,NA
"Female",15541.2371567495,32,7.69999998807905,NA,NA,0,"Science",NA,NA,NA,19,25,20332.574805785
"Male",9706.96617572611,NA,NA,NA,NA,0,"Science",NA,NA,NA,NA,NA,NA
"Female",31765.4854828591,48,NA,7,36,1,"Science",NA,"Yes",0,23,25,13623.8947950882
"Female",36848.124620526,38,8.69999992847442,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Female",9054.06064520252,39,8.19999992847442,NA,9,1,"Science",NA,"Yes",0,21,24,27991.3484130628
"Male",162.81,41,8.69999992847442,7,45,1,"Science",NA,NA,0,NA,24,NA
"Male",30996.7,38,7,3,18,1,"Science",NA,"Yes",0,20,24,20549.032667141
"Female",17478.0893178802,33,5.5,3,18,1,"Science",16,"Yes",0,17,25,17535.2732128771
"Female",22957.82,46,NA,7,63,1,"Art",21,"No",0,NA,26,NA
"Male",17173.84,41,9.19999992847442,NA,NA,NA,"Science",NA,NA,NA,NA,26,15761.3951524876
"Male",27399.9996636241,46,8.89999997615816,7,38,1,"Science",NA,"Yes",0,25,25,39863.5659540544
"Male",18668.1870855219,34,6.39999997615816,3,29,1,"Science",17,"Yes",0,19,27,23058.0601540938
"Female",17297.4554848606,19,7.19999998807905,NA,NA,0,"Science",NA,NA,NA,NA,26,20181.0374840432
"Female",30751.6486621492,39,NA,7,63,1,"Art",19,"Yes",0,23,26,NA
"Female",34691.45,37,8.59999990463258,7,54,1,"Science",NA,NA,0,NA,27,NA
"Male",24151.786239873,39,7.59999996423721,7,27,1,"Art",NA,"Somewhat",0,NA,25,26496.15774682
"Female",2029.18733275813,20,6.29999995231626,3,18,1,"Science",16,NA,3,NA,24,18537.0005028819
"Female",NA,31,NA,3,9,1,"Science",NA,"Yes",0,18,26,28584.2108538396
"Male",28061.3145904708,40,NA,7,60,1,"Art",20,NA,0,NA,26,NA
"Female",15292.15083766,29,7.59999996423721,3,9,1,"Science",21,"Somewhat",3,21,24,NA
"Female",16574.0792131496,41,7.79999995231626,4,36,1,"Science",20,"Yes",0,21,23,24493.0395426634
"Female",14416.2281166484,41,7.59999996423721,4,24,1,"Science",20,"Somewhat",0,22,24,NA
"Male",7679.46072223259,44,NA,3,18,1,"Science",NA,"Yes",0,21,27,NA
"Female",15997.8673770925,38,8.59999990463258,NA,NA,NA,"Science",NA,NA,NA,NA,26,NA
"Female",5356.11270609328,27,7.5,NA,18,0,"Science",NA,"Somewhat",0,17,25,NA
"Male",46552.9043532081,42,8.09999990463258,6,22,1,"Science",20,"Yes",0,24,24,10667.8237996007
"Female",23148.55,33,7,4,18,1,"Science",17,"Yes",0,18,27,NA
"Male",13064.5017516773,31,7.29999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
